Ref,Val,Package,PosX,PosY,Rot,Side
C2,1uC,C_0603_1608Metric,132.830716,-123.913388,0,top
C3,1uC,C_0603_1608Metric,132.856092,-122.055912,180,top
C4,2.2uC,C_0603_1608Metric,136.329747,-127.912069,90,top
C5,1uC,C_0603_1608Metric,127,-129.54,90,top
D1,LED_ABGR,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,103.213778,-123.365985,90,top
J0,Conn_01x02,PinHeader_1x02_P1.00mm_Horizontal,100.240871,-109.763693,180,top
LDO1,IFX27001TFV33,TO-252-3_TabPin2,103.622258,-114.877956,180,top
LDO2,LM3480-5.0,SOT-23,133.378723,-127.715686,0,top
MCU1,ESP32-WROOM-32D,ESP32-WROOM-32,120.39,-116.93,90,top
Q1,Q_NMOS_DGS,SOT-23,135.086862,-110.06032,90,top
R1,1K,R_0603_1608Metric,132.08,-116.04,90,top
R2,1K,R_0603_1608Metric,132.08,-112.7,-90,top
R3,10K %1,R_0603_1608Metric,107.435467,-123.27202,180,top
R4,10K %1,R_0603_1608Metric,107.422044,-125.111039,180,top
R5,10K %1,R_0603_1608Metric,107.428756,-121.486695,180,top
R6,1K 1%,R_0603_1608Metric,132.100135,-119.376495,90,top
R7,1K 1%,R_0603_1608Metric,129.1275,-129.54,90,top
